,Id,Fk_Asset,FK_OtherParameter,FK_Company,FK_OilAndGas,FK_HistoricCompany,FK_DataQuality,FK_LifeCycleTS,FK_LifeCycle,FK_OilAndGasType,NPV Current Year Forward Case,NPV Current Year High Case,NPV Current Year Low Case,NPV Current Year,NPV Current Year Mid Case,NPV Current Year Low Low Case,NPV Current Year Mid Low Case,NPV Current Year Low Low Low Case,NPV Current Year Mid Low Low Case,NPV Current Year Mid Mid Low Case,NPV Current Year Mid Mid Low Low Case
869,302441,237729,75,685,9,685,30,3,9,15,3.960000038,0,1.929999948,2.849999905,0,1.070000052,4.510000229,1.00999999,2.849999905,0,3.680000067
870,302443,237729,111,12830,9,12830,30,3,9,15,-15.8199997,0,-7.730000019,-11.39999962,0,-4.260000229,-18.04999924,-4.050000191,-11.40999985,0,-18.04999924
871,302444,237729,3,685,12,685,30,3,9,6,0,128.4900055,0,0,91.66000366,0,0,0,0,54.86999893,0
872,302446,237729,75,12830,9,12830,30,3,9,15,15.8199997,0,7.730000019,11.39999962,0,4.260000229,18.04999924,4.050000191,11.40999985,0,14.72999954
873,302449,237729,111,685,12,685,30,3,9,6,-24.07999992,0,21.39999962,2.799999952,0,39.20999908,-36.45000076,58.75,2.730000019,0,-36.45000076
874,302451,237729,3,12830,9,12830,30,3,9,15,0,34.47999954,0,0,27.90999985,0,0,0,0,20.55999947,0
875,333200,280717,3,10,12,10,30,6,6,8,,20.5,,,,,,,,,
876,333205,280717,75,168,12,168,30,6,6,8,2.390000105,,-3.829999924,-1.019999981,,-6.949999809,4.730000019,-9.510000229,-1.019999981,7.5,1.840000033
877,333207,280717,75,685,12,685,30,6,6,8,1.299999952,,-2.079999924,-0.555999994,,-3.779999971,2.569999933,-5.159999847,-0.555000007,4.079999924,1
878,333210,280717,75,10,12,10,30,6,6,8,2.819999933,,-4.489999771,-1.200000048,,-8.159999847,5.559999943,-11.14999962,-1.200000048,8.81000042,2.170000076
879,213795,113026,75,8924,2,8924,30,3,3,10,8.899999619,,4.090000153,6.309999943,,2.119999886,10.36999989,0.186000004,6.099999905,,8.539999962
880,51288,32602,3,16,4,16,30,10,10,11,22.44000053,27.37000084,-3.24000001,11.02999973,18.29000092,-6.239999771,6.21999979,,4.21E-02,12.22999954,2.940000057
881,213801,113026,111,685,4,685,30,3,3,11,-3.680000067,,11.44999981,-3.049999952,,14.36999989,1.409999967,17.46999931,8.170000076,,1.409999967
882,253205,194793,3,685,2,685,30,24,24,10,0.0186,0.041499998,0.0063,0.0133,0.034899998,0.0043,0.0219,2.00E-04,1.59E-02,2.66E-02,1.74E-02
883,303794,238908,3,18340,2,18340,30,24,24,10,0.467999995,1.039999962,0.217999995,0.488000006,0.848999977,0.108999997,0.546999991,3.78E-02,0.312999994,0.65200001,0.444000006
884,303796,238908,3,685,12,685,30,24,24,8,-0.744000018,2.170000076,-2.00999999,-1.100000024,1.210000038,-2.5,-0.270000011,-2.920000076,-1.409999967,0.620999992,-0.906000018
